序号,章节,方剂名,QA状态,QA问题,PDF页码,书内索引页码,缺失字段,定位标题,定位方法,原文片段文件
1,第1章 解表剂,桂枝汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.78,P.27,,桂枝汤,索引页码定位,D1_formula_snippets\001_桂枝汤.txt
2,第1章 解表剂,麻黄汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.73,P.23,,麻黄汤,索引页码定位,D1_formula_snippets\002_麻黄汤.txt
3,第1章 解表剂,九味羌活汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.81,P.29,,九味羌活汤,索引页码定位,D1_formula_snippets\003_九味羌活汤.txt
4,第1章 解表剂,香苏散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.83,P.30,,香苏散,索引页码定位,D1_formula_snippets\004_香苏散.txt
5,第1章 解表剂,小青龙汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.85,P.31,,小青龙汤,索引页码定位,D1_formula_snippets\005_小青龙汤.txt
6,第1章 解表剂,止嗽散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.87,P.33,,止嗽散,索引页码定位,D1_formula_snippets\006_止嗽散.txt
7,第1章 解表剂,银翘散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.90,P.34,,银翘散,全文标题定位,D1_formula_snippets\007_银翘散.txt
8,第1章 解表剂,桑菊饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.92,P.35,,桑菊饮,全文标题定位,D1_formula_snippets\008_桑菊饮.txt
9,第1章 解表剂,败毒散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.101,P.41,,败毒散（原名人参败毒散）,全文标题定位,D1_formula_snippets\009_败毒散.txt
10,第1章 解表剂,参苏饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.102,P.42,,参苏饮,全文标题定位,D1_formula_snippets\010_参苏饮.txt
11,第1章 解表剂,葛根汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.78,,,葛根汤,附方段落定位,D1_formula_snippets\011_葛根汤.txt
12,第1章 解表剂,大青龙汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.76,P.25,,大青龙汤,索引页码定位,D1_formula_snippets\012_大青龙汤.txt
13,第2章 泻下剂,大承气汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.111,P.47,,大承气汤,全文标题定位,D1_formula_snippets\013_大承气汤.txt
14,第2章 泻下剂,小承气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.111,P.48,,小承气汤,附方段落定位,D1_formula_snippets\014_小承气汤.txt
15,第2章 泻下剂,调胃承气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.111,P.48,,调胃承气汤,附方段落定位,D1_formula_snippets\015_调胃承气汤.txt
16,第2章 泻下剂,温脾汤,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,P.118,P.51；P.52,,温脾汤,全文标题定位,D1_formula_snippets\016_温脾汤.txt
17,第2章 泻下剂,十枣汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.127,P.56,,十枣汤,全文标题定位,D1_formula_snippets\017_十枣汤.txt
18,第3章 和解剂,小柴胡汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.136,P.62,,小柴胡汤,全文标题定位,D1_formula_snippets\018_小柴胡汤.txt
19,第3章 和解剂,大柴胡汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.226,P.117,,大柴胡汤,全文标题定位,D1_formula_snippets\019_大柴胡汤.txt
20,第3章 和解剂,蒿芩清胆汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.138,P.64,,蒿芩清胆汤,全文标题定位,D1_formula_snippets\020_蒿芩清胆汤.txt
21,第3章 和解剂,四逆散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.142,P.66,,四逆散,全文标题定位,D1_formula_snippets\021_四逆散.txt
22,第3章 和解剂,逍遥散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.143,P.67,,逍遥散,全文标题定位,D1_formula_snippets\022_逍遥散.txt
23,第3章 和解剂,半夏泻心汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.148,P.69,,半夏泻心汤,全文标题定位,D1_formula_snippets\023_半夏泻心汤.txt
24,第4章 清热剂,白虎汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.152,P.72,,白虎汤,全文标题定位,D1_formula_snippets\024_白虎汤.txt
25,第4章 清热剂,竹叶石膏汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.154,P.74,,竹叶石膏汤,全文标题定位,D1_formula_snippets\025_竹叶石膏汤.txt
26,第4章 清热剂,清营汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.157,P.75,,清营汤,全文标题定位,D1_formula_snippets\026_清营汤.txt
27,第4章 清热剂,犀角地黄汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.158,P.76,,犀角地黄汤,全文标题定位,D1_formula_snippets\027_犀角地黄汤.txt
28,第4章 清热剂,黄连解毒汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.161,P.77,,黄连解毒汤,全文标题定位,D1_formula_snippets\028_黄连解毒汤.txt
29,第4章 清热剂,龙胆泻肝汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.172,P.83,,龙胆泻肝汤,全文标题定位,D1_formula_snippets\029_龙胆泻肝汤.txt
30,第4章 清热剂,清胃散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.177,P.87,,清胃散,全文标题定位,D1_formula_snippets\030_清胃散.txt
31,第4章 清热剂,玉女煎,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.179,P.88,,玉女煎,全文标题定位,D1_formula_snippets\031_玉女煎.txt
32,第4章 清热剂,芍药汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.180,P.89,,芍药汤,全文标题定位,D1_formula_snippets\032_芍药汤.txt
33,第4章 清热剂,白头翁汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.182,P.90,,白头翁汤,全文标题定位,D1_formula_snippets\033_白头翁汤.txt
34,第4章 清热剂,青蒿鳖甲汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.185,P.91,,青蒿鳖甲汤,全文标题定位,D1_formula_snippets\034_青蒿鳖甲汤.txt
35,第4章 清热剂,清骨散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.186,P.92,,清骨散,全文标题定位,D1_formula_snippets\035_清骨散.txt
36,第5章 祛暑剂,香薷散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.192,P.96,,香薷散,全文标题定位,D1_formula_snippets\036_香薷散.txt
37,第5章 祛暑剂,新加香薷饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.191,P.97,,新加香薷饮,附方段落定位,D1_formula_snippets\037_新加香薷饮.txt
38,第5章 祛暑剂,清暑益气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.198,P.100,,清暑益气汤,全文标题定位,D1_formula_snippets\038_清暑益气汤.txt
39,第6章 温里剂,理中丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.202,P.102,,理中丸,全文标题定位,D1_formula_snippets\039_理中丸.txt
40,第6章 温里剂,小建中汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.204,P.104,,小建中汤,全文标题定位,D1_formula_snippets\040_小建中汤.txt
41,第6章 温里剂,大建中汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.208,P.106,,大建中汤,全文标题定位,D1_formula_snippets\041_大建中汤.txt
42,第6章 温里剂,四逆汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.211,P.108,,四逆汤,全文标题定位,D1_formula_snippets\042_四逆汤.txt
43,第6章 温里剂,当归四逆汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.216,P.111,,当归四逆汤,全文标题定位,D1_formula_snippets\043_当归四逆汤.txt
44,第6章 温里剂,阳和汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.521,P.300,,阳和汤,全文标题定位,D1_formula_snippets\044_阳和汤.txt
45,第7章 补益剂,四君子汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.232,P.121,,四君子汤,全文标题定位,D1_formula_snippets\045_四君子汤.txt
46,第7章 补益剂,参苓白术散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.235,P.123,,参苓白术散,全文标题定位,D1_formula_snippets\046_参苓白术散.txt
47,第7章 补益剂,补中益气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.237,P.124,,补中益气汤,全文标题定位,D1_formula_snippets\047_补中益气汤.txt
48,第7章 补益剂,生脉散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.241,P.127,,生脉散,全文标题定位,D1_formula_snippets\048_生脉散.txt
49,第7章 补益剂,玉屏风散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.240,P.126,,玉屏风散,全文标题定位,D1_formula_snippets\049_玉屏风散.txt
50,第7章 补益剂,四物汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.245,P.129,,四物汤,全文标题定位,D1_formula_snippets\050_四物汤.txt
51,第7章 补益剂,当归补血汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.247,P.131,,当归补血汤,全文标题定位,D1_formula_snippets\051_当归补血汤.txt
52,第7章 补益剂,归脾汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.249,P.132,,归脾汤,全文标题定位,D1_formula_snippets\052_归脾汤.txt
53,第7章 补益剂,八珍汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.252,P.133,,八珍汤（原名八珍散）,全文标题定位,D1_formula_snippets\053_八珍汤.txt
54,第7章 补益剂,十全大补汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.251,P.134,,十全大补汤,附方段落定位,D1_formula_snippets\054_十全大补汤.txt
55,第7章 补益剂,人参养荣汤,未定位,未在教材PDF正文中定位到“方名→出处→【组成】”结构；需人工核对是否为本版附方/异名/未收方。,,,出处；组成；用法；功用；主治,,,
56,第7章 补益剂,六味地黄丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.258,P.137,,六味地黄丸（原名地黄丸）,全文标题定位,D1_formula_snippets\056_六味地黄丸.txt
57,第7章 补益剂,左归丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.260,P.138,,左归丸,全文标题定位,D1_formula_snippets\057_左归丸.txt
58,第7章 补益剂,肾气丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.266,P.142,,肾气丸（又名《金匮》肾气丸、崔氏八味丸）,全文标题定位,D1_formula_snippets\058_肾气丸.txt
59,第7章 补益剂,右归丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.268,P.143,,右归丸,全文标题定位,D1_formula_snippets\059_右归丸.txt
60,第8章 固涩剂,牡蛎散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.280,P.150,,牡蛎散,全文标题定位,D1_formula_snippets\060_牡蛎散.txt
61,第8章 固涩剂,九仙散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.282,P.151,,九仙散,全文标题定位,D1_formula_snippets\061_九仙散.txt
62,第8章 固涩剂,真人养脏汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.284,P.152,,真人养脏汤（原名纯阳真人养脏汤）,全文标题定位,D1_formula_snippets\062_真人养脏汤.txt
63,第8章 固涩剂,四神丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.285,P.153,,四神丸,全文标题定位,D1_formula_snippets\063_四神丸.txt
64,第8章 固涩剂,金锁固精丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.291,P.156,,金锁固精丸,全文标题定位,D1_formula_snippets\064_金锁固精丸.txt
65,第8章 固涩剂,固冲汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.295,P.159,,固冲汤,全文标题定位,D1_formula_snippets\065_固冲汤.txt
66,第9章 安神剂,朱砂安神丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.301,P.162,,朱砂安神丸,全文标题定位,D1_formula_snippets\066_朱砂安神丸.txt
67,第9章 安神剂,天王补心丹,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.307,P.166,,天王补心丹,全文标题定位,D1_formula_snippets\067_天王补心丹.txt
68,第9章 安神剂,酸枣仁汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.309,P.167,,酸枣仁汤,全文标题定位,D1_formula_snippets\068_酸枣仁汤.txt
69,第10章 开窍剂,安宫牛黄丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.318,P.173,,安宫牛黄丸,全文标题定位,D1_formula_snippets\069_安宫牛黄丸.txt
70,第10章 开窍剂,紫雪,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.320,P.175,,紫雪,全文标题定位,D1_formula_snippets\070_紫雪.txt
71,第10章 开窍剂,至宝丹,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.321,P.176,,至宝丹,全文标题定位,D1_formula_snippets\071_至宝丹.txt
72,第10章 开窍剂,苏合香丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.325,P.178,,苏合香丸（原名吃力伽丸）,全文标题定位,D1_formula_snippets\072_苏合香丸.txt
73,第11章 理气剂,越鞠丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.331,P.181,,越鞠丸（又名芎术丸）,全文标题定位,D1_formula_snippets\073_越鞠丸.txt
74,第11章 理气剂,柴胡疏肝散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.332,P.182,,柴胡疏肝散,全文标题定位,D1_formula_snippets\074_柴胡疏肝散.txt
75,第11章 理气剂,半夏厚朴汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.337,P.185,,半夏厚朴汤,全文标题定位,D1_formula_snippets\075_半夏厚朴汤.txt
76,第11章 理气剂,苏子降气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.347,P.191,,苏子降气汤,全文标题定位,D1_formula_snippets\076_苏子降气汤.txt
77,第11章 理气剂,定喘汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.349,P.192,,定喘汤,全文标题定位,D1_formula_snippets\077_定喘汤.txt
78,第11章 理气剂,旋覆代赭汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.351,P.194,,旋覆代赭汤,全文标题定位,D1_formula_snippets\078_旋覆代赭汤.txt
79,第11章 理气剂,橘皮竹茹汤,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,P.353,P.195；P.196,,橘皮竹茹汤,全文标题定位,D1_formula_snippets\079_橘皮竹茹汤.txt
80,第12章 理血剂,桃核承气汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.358,P.198,,桃核承气汤,全文标题定位,D1_formula_snippets\080_桃核承气汤.txt
81,第12章 理血剂,血府逐瘀汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.360,P.200,,血府逐瘀汤,全文标题定位,D1_formula_snippets\081_血府逐瘀汤.txt
82,第12章 理血剂,补阳还五汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.364,P.202,,补阳还五汤,全文标题定位,D1_formula_snippets\082_补阳还五汤.txt
83,第12章 理血剂,复元活血汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.365,P.203,,复元活血汤,全文标题定位,D1_formula_snippets\083_复元活血汤.txt
84,第12章 理血剂,温经汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.368,P.205,,温经汤,全文标题定位,D1_formula_snippets\084_温经汤.txt
85,第12章 理血剂,生化汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.370,P.206,,生化汤,全文标题定位,D1_formula_snippets\085_生化汤.txt
86,第12章 理血剂,咳血方,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.378,P.211,,咳血方,全文标题定位,D1_formula_snippets\086_咳血方.txt
87,第12章 理血剂,十灰散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.377,P.210,,十灰散,全文标题定位,D1_formula_snippets\087_十灰散.txt
88,第13章 治风剂,川芎茶调散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.386,P.216,,川芎茶调散,全文标题定位,D1_formula_snippets\088_川芎茶调散.txt
89,第13章 治风剂,消风散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.390,P.219,,消风散,全文标题定位,D1_formula_snippets\089_消风散.txt
90,第13章 治风剂,大秦艽汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.388,P.217,,大秦艽汤,全文标题定位,D1_formula_snippets\090_大秦艽汤.txt
91,第13章 治风剂,镇肝熄风汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.398,P.224,,镇肝熄风汤,全文标题定位,D1_formula_snippets\091_镇肝熄风汤.txt
92,第13章 治风剂,天麻钩藤饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.401,P.225,,天麻钩藤饮,全文标题定位,D1_formula_snippets\092_天麻钩藤饮.txt
93,第13章 治风剂,牵正散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.391,P.220,,牵正散,全文标题定位,D1_formula_snippets\093_牵正散.txt
94,第14章 治燥剂,杏苏散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.408,P.230,,杏苏散,全文标题定位,D1_formula_snippets\094_杏苏散.txt
95,第14章 治燥剂,清燥救肺汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.411,P.232,,清燥救肺汤,全文标题定位,D1_formula_snippets\095_清燥救肺汤.txt
96,第14章 治燥剂,桑杏汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.409,P.231,,桑杏汤,全文标题定位,D1_formula_snippets\096_桑杏汤.txt
97,第14章 治燥剂,麦门冬汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.414,P.234,,麦门冬汤,全文标题定位,D1_formula_snippets\097_麦门冬汤.txt
98,第14章 治燥剂,增液汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.421,P.238,,增液汤,全文标题定位,D1_formula_snippets\098_增液汤.txt
99,第14章 治燥剂,百合固金汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.417,P.236,,百合固金汤,全文标题定位,D1_formula_snippets\099_百合固金汤.txt
100,第15章 祛湿剂,平胃散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.425,P.240,,平胃散,全文标题定位,D1_formula_snippets\100_平胃散.txt
101,第15章 祛湿剂,藿香正气散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.427,P.242,,藿香正气散,全文标题定位,D1_formula_snippets\101_藿香正气散.txt
102,第15章 祛湿剂,茵陈蒿汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.431,P.244,,茵陈蒿汤,全文标题定位,D1_formula_snippets\102_茵陈蒿汤.txt
103,第15章 祛湿剂,八正散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.433,P.245,,八正散,全文标题定位,D1_formula_snippets\103_八正散.txt
104,第15章 祛湿剂,三仁汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.435,P.247,,三仁汤,全文标题定位,D1_formula_snippets\104_三仁汤.txt
105,第15章 祛湿剂,五苓散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.446,P.253,,五苓散,全文标题定位,D1_formula_snippets\105_五苓散.txt
106,第15章 祛湿剂,苓桂术甘汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.453,P.258,,苓桂术甘汤,全文标题定位,D1_formula_snippets\106_苓桂术甘汤.txt
107,第15章 祛湿剂,真武汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.455,P.260,,真武汤,全文标题定位,D1_formula_snippets\107_真武汤.txt
108,第15章 祛湿剂,独活寄生汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.464,P.265,,独活寄生汤,全文标题定位,D1_formula_snippets\108_独活寄生汤.txt
109,第15章 祛湿剂,当归拈痛汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.441,P.250,,当归拈痛汤（又名拈痛汤）,全文标题定位,D1_formula_snippets\109_当归拈痛汤.txt
110,第16章 祛痰剂,二陈汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.469,P.267,,二陈汤,全文标题定位,D1_formula_snippets\110_二陈汤.txt
111,第16章 祛痰剂,温胆汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.472,P.270,,温胆汤,全文标题定位,D1_formula_snippets\111_温胆汤.txt
112,第16章 祛痰剂,清气化痰丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.475,P.271,,清气化痰丸,全文标题定位,D1_formula_snippets\112_清气化痰丸.txt
113,第16章 祛痰剂,贝母瓜蒌散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.480,P.274,,贝母瓜蒌散,全文标题定位,D1_formula_snippets\113_贝母瓜蒌散.txt
114,第16章 祛痰剂,苓甘五味姜辛汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.482,P.275,,苓甘五味姜辛汤,全文标题定位,D1_formula_snippets\114_苓甘五味姜辛汤.txt
115,第16章 祛痰剂,半夏白术天麻汤,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,P.486,P.277；P.278,,半夏白术天麻汤,全文标题定位,D1_formula_snippets\115_半夏白术天麻汤.txt
116,第17章 消食剂+驱虫剂,保和丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.492,P.281,,保和丸,全文标题定位,D1_formula_snippets\116_保和丸.txt
117,第17章 消食剂+驱虫剂,枳实导滞丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.493,P.282,,枳实导滞丸,全文标题定位,D1_formula_snippets\117_枳实导滞丸.txt
118,第17章 消食剂+驱虫剂,健脾丸,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.497,P.284,,健脾丸,全文标题定位,D1_formula_snippets\118_健脾丸.txt
119,第17章 消食剂+驱虫剂,乌梅丸,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.501,P.287,,乌梅丸,全文标题定位,D1_formula_snippets\119_乌梅丸.txt
