序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览
1,第1章 解表剂,桂枝汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
2,第1章 解表剂,麻黄汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
3,第1章 解表剂,九味羌活汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,九味羌活丸,中华人民共和国药典：2020年版．一部 P.550 entryId=734,【处方】羌活150g防风150g苍术150g细辛50g川芎100g白芷100g黄芩100g甘草100g地黄100g【制法】以上九味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得。
4,第1章 解表剂,香苏散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1424神香苏合丸…1424除湿白带丸…1425十画　珠蚕都荷桂桔根速唇夏热柴致逍蚝钻铁积射健脂脏脑狼疳益烧宽凉消润烫诺调通桑珠黄吹喉散…1426珠黄散…1426蚕蛾公补片…1427都梁丸…1428都梁软胶囊
5,第1章 解表剂,小青龙汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
6,第1章 解表剂,止嗽散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,未在前次药典P0覆盖表中,,,
7,第1章 解表剂,银翘散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,银翘散,中华人民共和国药典：2020年版．一部 P.1676 entryId=1975,【处方】金银花100g连翘100g桔梗60g薄荷60g淡豆豉50g淡竹叶40g牛蒡子60g荆芥40g芦根100g甘草40g【制法】以上十味，粉碎成细粉，过筛，混匀，即得。【性状】本品为棕黄色的粉末；气特异，味微甘而凉。【鉴别】（1）取本品，置显微镜下观察：花粉粒类球形，直径约至76μm，外壁有刺状雕纹，具三个萌发孔（金银花）。内果皮纤维上下层纵横交错，纤维短梭形（连翘）。联结乳管直径14～25μm，含淡黄色细颗粒状物（桔梗）。非腺毛，多碎断，完整者1～8细胞，常弯曲，直径10～43μm，壁厚，微具疣状突起（薄荷）。
8,第1章 解表剂,桑菊饮,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,桑菊感冒片,中华人民共和国药典：2020年版．一部 P.1634 entryId=1931,【处方】桑叶465g菊花185g连翘280g薄荷素油1ml苦杏仁370g桔梗370g甘草150g芦根370g【制法】以上八味，除薄荷素油外，桔梗粉碎成细粉；连翘提取挥发油；药渣与其余桑叶等五味加水煎煮二次（苦杏仁压榨去油后，在水沸时加入），每次2小时，合并煎液，滤过，滤液浓缩成稠膏，加入桔梗细粉及适量辅料，混匀，制成颗粒，干燥，放冷，喷加薄荷素油和连翘挥发油，混匀，压制成1000片，或包糖衣或薄膜衣，即得。【性状】本品为浅棕色至棕褐色的片；或为糖衣片或薄膜衣片，除去包衣后显浅棕色至棕褐色；气微香，味微苦。【鉴别】（
9,第1章 解表剂,败毒散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,败毒散,中华人民共和国药典：2020年版．一部 P.1193 entryId=1447,【功能与主治】发汗解表，散风祛湿。用于外感热病，憎寒壮热，项强头痛，四肢酸痛，噤口痢疾，无汗鼻塞，咳嗽有痰。【用法与用量】另加生姜、薄荷少许炖，取汤服。一次6～9g，一日1～2次。
10,第1章 解表剂,参苏饮,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,本版药典（一部）新增品种名单,中华人民共和国药典：2020年版．一部 P.18 entryId=2275,老年咳喘片再造生血胶囊西汉养生口服液（滋肾健脑液）血栓通胶囊血滞通胶囊血塞通片血塞通胶囊血塞通颗粒壮腰健身丸安胎丸安脑片妇宁栓妇科止带胶囊妇科养荣丸妇康宝口服液（妇康宝合剂）芩暴红止咳分散片芪风固表颗粒芪明颗粒芪参益气滴丸芪珍胶囊芪黄通秘软胶囊芪蛭降糖片苏黄止咳胶囊杏苏止咳口服液杞菊地黄口服液连参通淋片补肾益精丸补虚通瘀颗粒坤宁口服液坤泰胶囊苦甘颗粒苦参软膏固肠止泻胶囊和血明目片和胃止泻胶囊金嗓开音颗粒金嗓清音胶囊金蝉止痒胶囊乳块消颗粒乳康颗粒参芪五味子颗粒参芪降糖片参芪降糖胶囊厚朴排气合剂胃疡宁丸复方双花口服液复
11,第1章 解表剂,葛根汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,葛根汤颗粒,中华人民共和国药典：2020年版．一部 P.1760 entryId=2066,【处方】葛根667g麻黄500g白芍334g桂枝334g甘草334g大枣1222g生姜500g【制法】以上七味，取葛根、麻黄加水温浸30分钟，与其余白芍等五味，加水煎煮二次，每次30分钟，合并煎液，滤过
12,第1章 解表剂,大青龙汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,未在前次药典P0覆盖表中,,,
13,第2章 泻下剂,大承气汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,大青盐,中华人民共和国药典：2020年版．一部 P.72 entryId=29,本品为卤化物类石盐族湖盐结晶体，主含氯化钠（NaCl）。自盐湖中采挖后，除去杂质，干燥。【性状】本品为立方体、八面体或菱形的结晶，有的为歪晶，直径0.5～1.5cm。白色或灰白色，半透明，具玻璃样光泽。质硬，易砸碎，断面光亮。气微，味咸、微涩苦。【鉴别】（1）取本品粉末0.1g，加水5ml使溶解，加硝酸银试液1滴，即生成白色沉淀。（2）取铂丝，用盐酸湿润后，蘸取少许供试品粉末，在无色火焰中燃烧，火焰即显鲜黄色。【含量测定】取本品细粉约0.15g，精密称定，置锥形瓶中，加水50ml溶解，加2%糊精溶液10ml、碳酸钙
14,第2章 泻下剂,小承气汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,小青龙颗粒,中华人民共和国药典：2020年版．一部 P.644 entryId=842,【处方】麻黄154g桂枝154g白芍154g干姜154g细辛77g炙甘草154g法半夏231g五味子154g【制法】以上八味，细辛、桂枝提取挥发油，蒸馏后的水溶液另器收集；药渣与白芍、麻黄、五味子、炙甘草加水煎煮二次，第一次2小时，第二次1.5小时，合并煎液，滤过，滤液与蒸馏后的水溶液合并，浓缩至约1000ml；法半夏、干姜粉碎成粗粉，用70%乙醇作溶剂，浸渍24小时后进行渗漉，收集渗漉液，回收乙醇，与上述药液合并，静置，滤过，滤液浓缩至适量，喷雾干燥，加乳糖适量，混匀，喷加细辛和桂枝的挥发油，混匀，制成颗粒461
15,第2章 泻下剂,调胃承气汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,香苏调胃片,中华人民共和国药典：2020年版．一部 P.1336 entryId=1600,【处方】广藿香60g香薷96g木香15g紫苏叶120g姜厚朴60g砂仁15g麸炒枳壳15g陈皮30g茯苓15g炒山楂15g炒麦芽15g白扁豆（去皮）48g葛根15g甘草8g六神曲（麸炒）15g生姜30g【制法】以上十六味，六神曲（麸炒）、炒麦芽、麸炒枳壳、姜厚朴、砂仁、白扁豆（去皮）粉碎成细粉；广藿香、陈皮分别蒸馏提取挥发油，蒸馏后的水溶液合并，备用；炒山楂、葛根、甘草加水煎煮三次，第一次3小时，第二次1小时，第三次0.5小时，滤过，滤液合并，备用；紫苏叶、香薷加水热浸三次，第一次2小时、第二次1小时，第三次0.5
16,第2章 泻下剂,温脾汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,姜半夏,中华人民共和国药典：2020年版．一部 P.173 entryId=181,【性味与归经】辛，温。归脾、胃、肺经。【功能与主治】温中化痰，降逆止呕。用于痰饮呕吐，胃脘痞满。【用法与用量】3～9g。【注意】不宜与川乌、制川乌、草乌、制草乌、附子同用。【贮藏】置通风干燥处，防蛀。
17,第2章 泻下剂,十枣汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,控涎丸,中华人民共和国药典：2020年版．一部 P.1654 entryId=1952,【用法与用量】用温开水或枣汤、米汤送服。一次1～3g，一日1～2次。【注意】孕妇忌服；体虚者慎用。【贮藏】密封。
18,第3章 和解剂,小柴胡汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,小柴胡胶囊,中华人民共和国药典：2020年版．一部 P.653 entryId=852,【处方】柴胡445g姜半夏222g黄芩167g党参167g甘草167g生姜167g大枣167g【制法】以上七味，党参45g、甘草45g粉碎成细粉；剩余的党参与甘草、柴胡、黄芩、大枣加水煎煮二次，每次1.5小时，合并煎液，滤过，滤液浓缩至相对密度为1.05～1.10（80℃）的清膏；姜半夏、生姜用70%乙醇作溶剂，浸渍24小时后，缓缓渗漉，收集渗漉液1670ml，回收乙醇，与上述清膏合并，浓缩至相对密度为1.10～1.20（80℃）的稠膏，加入上述细粉及适量淀粉，混匀，干燥，粉碎成细粉，85%乙醇溶液制成颗粒，干燥，
19,第3章 和解剂,大柴胡汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,柴胡,中华人民共和国药典：2020年版．一部 P.342 entryId=442,【注意】大叶柴胡Bupleurum longiradiatum Turcz.的干燥根茎，表面密生环节，有毒，不可当柴胡用。【贮藏】置通风干燥处，防蛀。
20,第3章 和解剂,蒿芩清胆汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,茵陈,中华人民共和国药典：2020年版．一部 P.299 entryId=373,【功能与主治】清利湿热，利胆退黄。用于黄疸尿少，湿温暑湿，湿疮瘙痒。【用法与用量】6～15g。外用适量，煎汤熏洗。【贮藏】置阴凉干燥处，防潮。
21,第3章 和解剂,四逆散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【功能与主治】温中祛寒，回阳救逆。用于阳虚欲脱，冷汗自出，四肢厥逆，下利清谷，脉微欲绝。【用法与用量】口服。一次10～20ml，一日3次；或遵医嘱。【规格】每支装10ml【贮藏】密封，置阴凉处。
22,第3章 和解剂,逍遥散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,逍遥胶囊,中华人民共和国药典：2020年版．一部 P.1513 entryId=1799,【处方】柴胡286g当归286g白芍286g炒白术286g茯苓286g炙甘草228.8g薄荷57.2g生姜286g【制法】以上八味，薄荷提取挥发油备用或用倍他环糊精包合，备用；蒸馏后的水溶液备用；药渣与其余柴胡等七味加水煎煮二次，第一次2小时，第二次1小时，煎液滤过，滤液与上述蒸馏后的水溶液合并，减压浓缩至相对密度为1.26～1.30（90℃）的稠膏，减压干燥，粉碎，薄荷挥发油用适量的微晶纤维素吸收后与干浸膏混匀，装入胶囊，制成1000粒〔规格（1）〕；或减压浓缩至相对密度为1.10～1.15（60℃）的清膏，喷雾
23,第3章 和解剂,半夏泻心汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,半夏,中华人民共和国药典：2020年版．一部 P.172 entryId=179,另取半夏对照药材1g，同法制成对照药材溶液。
24,第4章 清热剂,白虎汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【处方】淡附片300g干姜200g炙甘草300g【制法】以上三味，淡附片、炙甘草加水煎煮二次，第一次2小时，第二次1.5小时，合并煎液，滤过；干姜用水蒸气蒸馏提取挥发油，挥发油和蒸馏后的水溶液备用；姜渣再加水煎煮1小时，煎液与上述水溶液合并，滤过，再与淡附片、炙甘草的煎液合并，浓缩至约400ml，放冷，加乙醇1200ml，搅匀，静置24小时，滤过，减压浓缩至适量，用适量水稀释，冷藏24小时，滤过，加单糖浆300ml、苯甲酸钠3g与上述挥发油，加水至1000ml，搅匀，灌封，灭菌，即得。【性状】本品为棕黄色的液体；气
25,第4章 清热剂,竹叶石膏汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,鼻窦炎口服液,中华人民共和国药典：2020年版．一部 P.1892 entryId=2208,注：竹叶柴胡　为伞形科植物竹叶柴胡Bupleurum marginatum Wall.ex DC.的干燥全草。
26,第4章 清热剂,清营汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,玄明粉,中华人民共和国药典：2020年版．一部 P.170 entryId=175,【功能与主治】泻下通便，润燥软坚，清火消肿。用于实热积滞，大便燥结，腹满胀痛；外治咽喉肿痛，口舌生疮，牙龈肿痛，目赤，痈肿，丹毒。【用法与用量】3～9g，溶入煎好的汤液中服用。外用适量。
27,第4章 清热剂,犀角地黄汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,盐酸地尔硫片,中华人民共和国药典：2020年版．二部 P.1163 entryId=3806,【鉴别】（1）取本品的细粉适量（约相当于盐酸地尔硫60mg），加盐酸溶液（9→100）10ml，振摇使盐酸地尔硫溶解，滤过，滤液照盐酸地尔硫项下的鉴别（1）项试验，显相同的反应。
28,第4章 清热剂,黄连解毒汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,黄连胶囊,中华人民共和国药典：2020年版．一部 P.1648 entryId=1946,本品每粒含黄连以盐酸小檗碱（C20H17NO4·HCl）计，不得少于9.0mg。【功能与主治】清热燥湿，泻火解毒。
29,第4章 清热剂,龙胆泻肝汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,龙胆,中华人民共和国药典：2020年版．一部 P.148 entryId=140,归肝、胆经。【功能与主治】清热燥湿，泻肝胆火。用于湿热黄疸，阴肿阴痒，带下，湿疹瘙痒，肝火目赤，耳鸣耳聋，胁痛口苦，强中，惊风抽搐。【用法与用量】3～6g。【贮藏】置干燥处。
30,第4章 清热剂,清胃散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1668清肺抑火丸…1669清肺消炎丸…1670清泻丸…1671清降片…1672清胃保安丸…1673清胃黄连丸（大蜜丸）…1674清胃黄连丸（水丸）…1675清胃黄连片…1676清咽丸…1677清咽利膈丸
31,第4章 清热剂,玉女煎,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,0183　煎膏剂（膏滋）,中华人民共和国药典：2020年版．四部 P.61 entryId=5403,四、煎膏剂应无焦臭、异味，无糖的结晶析出。五、除另有规定外，煎膏剂应密封，置阴凉处贮存。除另有规定外，煎膏剂应进行以下相应检查。
32,第4章 清热剂,芍药汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,归芍地黄丸,中华人民共和国药典：2020年版．一部 P.863 entryId=1082,【处方】当归40g酒白芍40g熟地黄160g酒萸肉80g牡丹皮60g山药80g茯苓60g泽泻60g【制法】以上八味，粉碎成细粉，过筛，混匀。每100g粉末用炼蜜35～50g加适量的水制丸，干燥，制成水蜜丸；或加炼蜜80～110g制成小蜜丸或大蜜丸，即得。【性状】本品为棕黑色的水蜜丸、黑褐色的小蜜丸或大蜜丸；味甜、微酸。【鉴别】（1）取本品，置显微镜下观察：糊化淀粉粒团块类白色（酒白芍）。不规则分枝状团块无色，遇水合氯醛试液溶化；菌丝无色或淡棕色，直径4～6μm（茯苓）。薄壁细胞纺锤形，壁略厚，有极微细的斜向交错纹理
33,第4章 清热剂,白头翁汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,白头翁,中华人民共和国药典：2020年版．一部 P.157 entryId=153,另取白头翁对照药材1g，同法制成对照药材溶液。
34,第4章 清热剂,青蒿鳖甲汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,鳖甲,中华人民共和国药典：2020年版．一部 P.451 entryId=615,饮片【炮制】鳖甲　置蒸锅内，沸水蒸45分钟，取出，放入热水中，立即用硬刷除去皮肉，洗净，干燥。醋鳖甲　取净鳖甲，照烫法（通则0213）用砂烫至表面淡黄色，取出，醋淬，干燥。用时捣碎。
35,第4章 清热剂,清骨散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1013连花清瘟胶囊…1014连花清瘟颗粒…1015连参通淋片…1016连蒲双清片…1018抗炎退热片…1019抗骨增生丸…1019抗骨增生胶囊…1020抗骨髓炎片…1021抗宫炎片…1022抗宫炎胶囊
36,第5章 祛暑剂,香薷散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,未在前次药典P0覆盖表中,,,
37,第5章 祛暑剂,新加香薷饮,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,未在前次药典P0覆盖表中,,,
38,第5章 祛暑剂,清暑益气汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,未在前次药典P0覆盖表中,,,
39,第6章 温里剂,理中丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,理中丸,中华人民共和国药典：2020年版．一部 P.1636 entryId=1934,供试品溶液的制备　取本品重量差异项下的大蜜丸，切碎，取约1g，精密称定，置具塞锥形瓶中，精密加入甲醇-0.017mol/L磷酸溶液（13:7）50ml，密塞，称定重量，放置过夜，超声处理（功率250W，
