序号,优先级,大类,场景,关键药,首选剂量,儿童剂量,浓度规格,重复频率,后续处理,不可做,来源,QA状态,QA问题
1,P0,心脏骤停/心律失常,心脏骤停,肾上腺素,成人1mg静脉或骨内给药，每3～5分钟重复一次。,儿童心肺复苏常用0.01mg/kg静脉或骨内给药，每3～5分钟重复一次；需按儿童高级生命支持指南复核。,常用复苏给药为0.1mg/ml（1:10000）或按机构预充注射器规格；需本院流程复核。,每3～5分钟可重复。,高质量胸外按压、尽早除颤、气道和通气管理、寻找并处理可逆病因。,不得因给药中断胸外按压；肾上腺素不能替代除颤和高质量心肺复苏。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》成人心脏骤停流程/Highlights Figure 4；肾上腺素1mg每3–5分钟；需原PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
2,P0,心脏骤停/心律失常,室颤/无脉室速,胺碘酮,除颤无效的室颤/无脉室速：胺碘酮首次300mg静脉或骨内推注，第二次150mg。,儿童可按5mg/kg静脉或骨内给药；需儿童高级生命支持指南复核。,常见150mg/3ml；用药前按说明书和抢救流程稀释/给药。,成人首次300mg，必要时第二次150mg。,继续心肺复苏和除颤，纠正低氧、低钾/高钾、酸中毒等可逆病因。,不可延误除颤；抗心律失常药不替代除颤。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》成人心脏骤停流程/Highlights Figure 4；胺碘酮300mg/150mg或利多卡因剂量；需原PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
3,P0,心脏骤停/心律失常,持续室速（有脉）,利多卡因,可用利多卡因1～1.5mg/kg静脉给药；后续剂量和维持泵入需按心律失常指南/说明书复核。,儿童剂量需按儿童高级生命支持或药品说明书复核。,常见2%利多卡因注射液；具体规格以本院供应为准。,需按心律失常流程和血流动力学状态决定。,评估血流动力学；不稳定者同步电复律；连续心电监护。,血流动力学不稳定时不要因等待药物延误电复律。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》心动过速/心脏骤停流程；利多卡因剂量需原PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
4,P0,心脏骤停/心律失常,心动过缓,阿托品,成人阿托品1mg静脉给药，每3～5分钟重复；最大总量3mg。,儿童需按儿童高级生命支持指南复核。,常见0.5mg/ml或1mg/ml注射液；以本院供应为准。,每3～5分钟重复，成人最大总量3mg。,无效时经皮起搏，或多巴胺/肾上腺素输注，处理可逆病因。,高度房室传导阻滞或移植心脏患者不应单纯依赖阿托品。,《2020 American Heart Association Guidelines for CPR and ECC》成人心动过缓流程；注意：用户清单写0.5mg，2020 AHA成人流程为1mg，需确定采用版本后入训,版本冲突待确认,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
5,P0,心脏骤停/心律失常,房颤复律,胺碘酮/普罗帕酮,药物复律剂量随病情、结构性心脏病、用药禁忌而异；不可在未核指南前固定入训。,不适用；儿童需专科指南。,按具体药品说明书。,按房颤指南和药品说明书。,评估血流动力学、卒中风险、抗凝指征；不稳定者同步电复律。,不稳定房颤不应因药物复律延误同步电复律；未评估抗凝风险不宜盲目复律。,房颤诊疗指南/药品说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
6,P0,心脏骤停/心律失常,高血压急症,拉贝洛尔/乌拉地尔/硝普钠,需按具体场景选择降压药；硝普钠常需微量泵严密监测，拉贝洛尔/乌拉地尔剂量需按说明书与指南复核。,儿童高血压急症需专科指南。,按具体药品规格。,按血压目标和药品说明书滴定。,连续血压监测，避免降压过快；明确靶器官损害。,多数高血压急症首小时平均动脉压不宜下降过快；主动脉夹层等特殊情形除外。,中国高血压急症相关共识/药品说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
7,P0,休克,过敏性休克,肾上腺素,成人大腿中外侧肌内注射0.3～0.5mg。,0.01mg/kg肌内注射，通常单次最大0.5mg；需按具体指南复核。,1mg/ml（1:1000）肌内注射。,每5～15分钟可重复，视症状和血流动力学反应。,平卧、吸氧、快速补液、支气管痉挛处理、监护；抗组胺药和糖皮质激素为辅助。,抗组胺药或糖皮质激素不能替代肾上腺素；不要首选皮下注射。,World Allergy Organization Anaphylaxis Guidance 2020；肾上腺素肌内0.01mg/kg，成人最大0.5mg，可5–15分钟重复；需原文页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
8,P0,休克,感染性休克,晶体液/抗菌药/去甲肾上腺素,初始复苏常用晶体液30ml/kg；尽早使用广谱抗菌药；液体后仍低血压首选去甲肾上腺素维持平均动脉压目标。,儿童感染性休克按儿童脓毒症指南复核。,按具体药品和输注泵配置。,动态评估容量反应性、乳酸和灌注。,1小时集束化处理：乳酸、血培养、抗菌药、补液、血管活性药。,不要因等待培养延误抗菌药；不应盲目无限制补液。,拯救脓毒症运动指南/中国脓毒症指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
9,P0,休克,心源性休克,多巴酚丁胺/多巴胺/去甲肾上腺素,血管活性药和正性肌力药需根据血压、心排量和病因滴定；不宜无源固定剂量入训。,儿童需专科指南。,按具体药品说明书和泵入方案。,连续血流动力学监测下滴定。,处理急性冠脉综合征、心律失常、机械并发症；必要时机械循环支持。,不要大量盲目补液加重肺水肿。,急性心力衰竭/心源性休克共识；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
10,P0,休克,失血性休克,平衡晶体液/血制品/氨甲环酸,控制出血和损伤控制复苏优先；血制品比例和氨甲环酸剂量需按创伤指南复核。,儿童创伤复苏需专科指南。,按血制品和药品说明书。,按出血控制和凝血监测。,止血、输血、纠正凝血障碍、保温、监测乳酸/碱缺失。,不要单纯大量晶体液稀释凝血因子。,创伤失血性休克/大量输血指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
11,P0,神经急症,急性缺血性脑卒中溶栓,阿替普酶,0.9mg/kg静脉，总量最大90mg；10%总量1分钟静脉推注，其余90%于60分钟静脉输注。,儿童缺血性卒中溶栓需专科指南。,按阿替普酶制剂规格复溶。,单次给药；严禁超最大剂量。,严格时间窗、影像排除出血、血压管理，24小时内避免抗栓药（按指南）。,有禁忌证或超时间窗不可盲目溶栓。,急性缺血性脑卒中静脉溶栓指南/阿替普酶说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
12,P0,神经急症,蛛网膜下腔出血,尼莫地平,常用尼莫地平60mg口服或经胃管给药，每4小时一次；需指南/说明书复核。,儿童需专科指南。,常见30mg片。,每4小时一次，疗程按指南。,动脉瘤处理、监测血管痉挛、血压和颅压管理。,低血压时需谨慎，避免脑灌注不足。,蛛网膜下腔出血指南/尼莫地平说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
13,P0,神经急症,癫痫持续状态,地西泮/劳拉西泮,成人常用地西泮10mg缓慢静脉注射或劳拉西泮4mg静脉注射；具体重复和二线药需指南复核。,儿童按体重给药，需儿童惊厥持续状态指南复核。,按具体苯二氮䓬制剂规格。,按发作控制情况和呼吸循环监护决定。,气道保护、血糖检测、二线抗癫痫药负荷、查找病因。,不得在无呼吸监护条件下反复过量苯二氮䓬类。,癫痫持续状态诊疗指南/药品说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
14,P0,神经急症,脑水肿,甘露醇,甘露醇0.5～1g/kg静脉输注；需按颅高压指南/说明书复核。,儿童需专科指南。,常见20%甘露醇注射液。,按颅压、渗透压、肾功能和电解质监测。,抬高头位、处理病因、监测肾功能和血渗透压。,肾功能不全、脱水/电解质异常者不可盲目反复使用。,颅内压增高/神经重症指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
15,P0,内科急症,糖尿病酮症酸中毒,0.9%氯化钠/胰岛素,0.9%氯化钠第1小时15～20ml/kg；胰岛素常用0.1U/kg/h静脉泵入。,儿童DKA补液和胰岛素需按儿童指南复核，避免脑水肿。,普通胰岛素注射液；补液按晶体液规格。,持续泵入并按血糖、酮体、钾和酸碱状态调整。,补钾、监测血糖/电解质/血气，血糖下降后加葡萄糖。,低钾未纠正前不应启动胰岛素；避免血糖下降过快。,ADA/Diabetes Care 高血糖危象指南及综述；0.9%氯化钠15–20ml/kg第1小时、胰岛素0.1U/kg/h；需原文页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
16,P0,内科急症,高钾血症,葡萄糖酸钙/胰岛素+葡萄糖,心电图改变或重度高钾时10%葡萄糖酸钙10ml静脉缓慢注射；胰岛素10U加50%葡萄糖50ml静脉给药。,儿童需按体重和儿科指南复核。,10%葡萄糖酸钙；普通胰岛素；50%葡萄糖。,按心电图和血钾复查，必要时重复钙剂；持续清除钾。,雾化β2激动剂、碳酸氢钠（有酸中毒时）、利尿/透析、停用保钾药。,钙剂只稳定心肌，不能降低体内总钾；需后续降钾和排钾。,高钾血症急诊处理共识/药品说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
17,P0,内科急症,低血糖,葡萄糖,意识障碍或不能口服者50%葡萄糖20～40ml静脉注射；清醒可口服约15g糖。,儿童按葡萄糖剂量和体重给药，需儿科指南复核。,50%葡萄糖注射液；口服葡萄糖/含糖饮料。,15分钟复测血糖，仍低则重复处理。,进食长效碳水，调整降糖药，查找病因。,昏迷者不可强行口服以免误吸。,低血糖急诊处理流程/糖尿病指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
18,P0,内科急症,急性肺水肿,呋塞米/硝酸甘油/吗啡,常用呋塞米40～80mg静脉；硝酸甘油10～200μg/min静脉泵入；吗啡3～5mg静脉需慎用并按指南复核。,儿童需专科指南。,按具体药品规格。,按血压、尿量、呼吸困难和氧合滴定。,坐位、吸氧/无创通气、控制血压和诱因。,低血压、右室梗死等情形慎用硝酸酯；吗啡不应常规无监护使用。,急性心力衰竭指南/药品说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
19,P0,内科急症,哮喘急性发作,沙丁胺醇/异丙托溴铵/全身糖皮质激素,沙丁胺醇雾化0.15mg/kg，成人常用2.5～5mg；重症初始每20分钟一次共3次。异丙托溴铵0.25～0.5mg雾化；甲泼尼龙1～2mg/kg。,沙丁胺醇0.15mg/kg雾化，单次最大5mg；其他药物按儿科指南。,沙丁胺醇雾化溶液、异丙托溴铵雾化液、甲泼尼龙注射剂。,初始每20分钟一次共3次，随后按病情调整。,吸氧、评估峰流速/血氧，重症考虑硫酸镁和ICU。,不要单独依赖口服药；重症不可延误气道和通气支持。,哮喘急性发作急诊处理指南/GINA；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
20,P0,内科急症,慢阻肺急性加重,沙丁胺醇/异丙托溴铵/糖皮质激素/抗菌药,支气管舒张剂雾化，系统激素和抗菌药剂量需按指南/说明书复核。,不适用。,按具体药品规格。,按症状、血气和氧合调整。,控制氧疗目标、必要时无创通气、评估感染。,氧疗避免过高氧浓度导致二氧化碳潴留风险。,慢阻肺急性加重指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
21,P0,内科急症,急性肺栓塞,肝素/阿替普酶,抗凝和溶栓剂量需按肺栓塞危险分层和指南复核；不宜无源固定入训。,儿童需专科指南。,普通肝素、低分子肝素、阿替普酶规格。,按凝血指标和再灌注策略。,风险分层、氧疗、循环支持、抗凝桥接。,有溶栓禁忌证不可盲目溶栓。,肺血栓栓塞症诊治指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
22,P0,内科急症,主动脉夹层,艾司洛尔/硝普钠,先用β受体阻滞剂控制心率，再必要时加硝普钠；目标常为收缩压100～120mmHg、心率<60次/分。具体剂量需按说明书复核。,儿童需专科指南。,按具体药品规格。,连续监测下静脉滴定。,镇痛、影像确诊、外科/介入评估。,不可先单用血管扩张剂导致反射性心动过速。,主动脉夹层诊疗指南/药品说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
23,P0,中毒,阿片中毒,纳洛酮,纳洛酮0.4～2mg静脉给药，每2～3分钟可重复；总量达10mg仍无效需考虑其他诊断。,儿童按体重给药，需儿科/中毒指南复核。,常见0.4mg/ml或0.4mg/支；以本院供应为准。,每2～3分钟重复，必要时持续输注。,气道和通气支持，监护复发性呼吸抑制。,不能因纳洛酮给药延误通气支持。,急性中毒诊治指南/纳洛酮说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
24,P0,中毒,苯二氮䓬类中毒,氟马西尼,氟马西尼0.2mg静脉，1分钟后0.3mg，必要时0.5mg每分钟重复，总量通常不超过3mg；需说明书复核。,儿童需专科指南。,常见0.5mg/5ml。,按意识和呼吸恢复情况重复。,气道、呼吸和循环支持，监护再镇静。,长期苯二氮䓬使用者、混合三环类抗抑郁药中毒或癫痫风险者慎用/禁用。,急性中毒诊治指南/氟马西尼说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
25,P0,中毒,有机磷中毒,阿托品/解磷定,阿托品化和胆碱酯酶复能剂剂量需按中毒严重程度快速滴定；不宜无源固定入训。,儿童按体重给药，需中毒指南。,阿托品注射液、氯解磷定/碘解磷定。,按分泌物、肺部啰音、心率和意识动态调整。,脱污染、气道管理、呼吸支持、监测胆碱酯酶。,不要等实验室结果才开始抢救；阿托品不足会致命。,急性有机磷农药中毒诊治指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
26,P0,中毒,一氧化碳中毒,氧疗/高压氧,立即给予100%氧；高压氧适应证和疗程需按指南复核。,儿童按中毒指南。,高流量氧、无创/有创通气或高压氧舱。,按碳氧血红蛋白、意识和器官损伤评估。,脱离现场、心电监测、评估迟发性脑病。,不能仅凭脉搏氧饱和度排除中毒。,一氧化碳中毒诊治指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
27,P0,产科急症,子痫,硫酸镁,硫酸镁4～6g静脉20分钟负荷，随后1～2g/h维持。,不适用。,常见25%硫酸镁注射液；按产科流程稀释。,按反射、呼吸、尿量和血镁监测维持。,控制血压、评估终止妊娠时机；备葡萄糖酸钙解救镁中毒。,膝反射消失、呼吸抑制或尿量不足时不可继续盲目给镁。,妊娠期高血压疾病诊治指南/硫酸镁说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
28,P0,产科急症,产后出血,缩宫素/卡前列素/米索前列醇,缩宫素、卡前列素和米索前列醇剂量需按产后出血指南与说明书复核。,不适用。,按具体制剂规格。,按出血量、宫缩和生命体征处理。,按摩子宫、止血、输血、纠正凝血障碍、手术/介入。,不要仅依赖药物而延误机械/手术止血。,产后出血预防与处理指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
29,P0,产科急症,羊水栓塞,支持治疗/血制品,无特异解毒剂；血制品和血管活性药按休克和DIC情况个体化。,不适用。,按具体药品和血制品。,按循环、氧合和凝血动态处理。,气道循环支持、纠正DIC、产科止血、多学科抢救。,不要等待完全确诊才启动抢救。,羊水栓塞诊治专家共识；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
30,P0,儿科急症,儿童哮喘急性发作,沙丁胺醇,沙丁胺醇雾化0.15mg/kg，单次最大5mg；重症初始每20分钟一次共3次。,同首选剂量；后续按儿科哮喘指南。,沙丁胺醇雾化溶液。,初始每20分钟一次共3次，随后按病情调整。,吸氧、异丙托溴铵、全身糖皮质激素，必要时硫酸镁/ICU。,重症不可延误氧疗和高级气道支持。,儿童支气管哮喘急性发作诊疗指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
31,P1,心脏骤停/心律失常,无脉电活动,肾上腺素/可逆病因处理,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,2020 AHA CPR/ECC 成人心脏骤停流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
32,P1,心脏骤停/心律失常,心搏停止,肾上腺素/高质量心肺复苏,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,2020 AHA CPR/ECC 成人心脏骤停流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
33,P1,心脏骤停/心律失常,复苏后低血压,去甲肾上腺素/肾上腺素/多巴胺,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,2020 AHA CPR/ECC 复苏后管理；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
34,P1,心脏骤停/心律失常,尖端扭转型室速,硫酸镁,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA ACLS 心律失常流程/药品说明书；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
35,P1,心脏骤停/心律失常,阵发性室上性心动过速,腺苷,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA ACLS 心动过速流程/腺苷说明书；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
36,P1,心脏骤停/心律失常,宽QRS心动过速稳定型,普鲁卡因胺/胺碘酮/索他洛尔,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA ACLS 心动过速流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
37,P1,心脏骤停/心律失常,窄QRS心动过速稳定型,腺苷/β受体阻滞剂,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA ACLS 心动过速流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
38,P1,心脏骤停/心律失常,室颤电除颤能量,双相波除颤,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA ACLS 成人心脏骤停流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
39,P1,心脏骤停/心律失常,不稳定心动过速同步电复律,镇静药/同步电复律,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA ACLS 心动过速流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
40,P1,心脏骤停/心律失常,洋地黄中毒性心律失常,地高辛免疫Fab/镁/钾校正,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
41,P1,心脏骤停/心律失常,低钾相关室性心律失常,氯化钾/镁,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,电解质紊乱急诊共识；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
42,P1,心脏骤停/心律失常,高钾致宽QRS心律失常,葡萄糖酸钙/胰岛素葡萄糖,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,高钾血症急诊处理共识；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
43,P1,心脏骤停/心律失常,β受体阻滞剂中毒性心动过缓,胰高血糖素/高剂量胰岛素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
44,P1,心脏骤停/心律失常,钙通道阻滞剂中毒性休克,钙剂/高剂量胰岛素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
45,P1,心脏骤停/心律失常,局麻药全身毒性,脂肪乳,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境/麻醉相关指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
